Github:,,,,,,,,Note
,Informazioni generali sulla repository:,,,,,,,
,,Nome della repository;,,,,,OK,
,,Descrizione della repository;,,,,,OK,
,,Data di creazione della repository;,,,,,OK,
,,Ultima data di aggiornamento della repository;,,,,,OK,
,,"Numero di stelle, fork e watcher;",,,,,No,
,,Linguaggio principale della repository;,,,,,OK,
,,Licenza della repository.,,,,,No,
,Informazioni di una issue:,,,,,,,
,,"Stato (aperta, chiusa);",,,,,No,
,,Titolo della issue;,,,,,No,
,,Descrizione della issue;,,,,,No,
,,Etichette associate;,,,,,No,
,,Assegnatario della issue;,,,,,No,
,,Data di creazione e ultimo aggiornamento;,,,,,No,
,,Commenti associati;,,,,,No,
,,Milestone associata;,,,,,No,
,,"Issue collegate (es. duplicate, di riferimento).",,,,,No,
,Elenco delle issue:,,,,,,,
,,Issue aperte;,,,,,No,
,,Issue chiuse;,,,,,No,
,,Issue assegnate a un determinato utente;,,,,,No,
,,Issue con una specifica etichetta;,,,,,No,
,,Issue associate a una specifica milestone.,,,,,No,
,Ultimo commit fatto da un utente:,,,,,,,
,,Messaggio del commit;,,,,,OK,
,,Hash del commit;,,,,,OK,
,,Data e ora del commit;,,,,,OK,
,,Branch associato;,,,,,OK,
,,File modificati;,,,,,OK,
,,Autore del commit.,,,,,OK,
,Milestones attive:,,,,,,,
,,Milestones attive;,,,,,No,
,,Milestones chiuse;,,,,,No,
,,Issue da completare per una milestone;,,,,,No,
,,Data di scadenza;,,,,,No,
,,Progresso (issue completate vs. totali).,,,,,No,
,Issue da completare per una milestone:,,,,,,,
,,Issue associate a una milestone;,,,,,No,
,,"Stato delle issue (aperte, chiuse);",,,,,No,
,,Progresso della milestone.,,,,,No,
,Username del responsabile di una issue:,,,,,,,
,,Assegnatario della issue;,,,,,No,
,,"Ruolo dell'assegnatario (es. collaboratore, maintainer).",,,,,No,
,File presenti in una directory:,,,,,,,
,,Elenco dei file;,,,,,OK,
,,Contenuto dei file;,,,,,OK,
,,Cronologia delle modifiche;,,,,,OK,
,,Autore delle modifiche;,,,,,OK,
,,Dimensione dei file;,,,,,No,
,,Permessi dei file.,,,,,No,
,Elenco dei collaboratori nel repository:,,,,,,,
,,Elenco dei collaboratori;,,,,,No,
,,"Ruoli dei collaboratori (es. maintainer, contributor);",,,,,No,
,,Permessi dei collaboratori.,,,,,No,
,Pull request:,,,,,,,
,,Lista Pull request attive;,,,,,OK,
,,Lista Pull request chiuse;,,,,,OK,
,,Titolo e descrizione;,,,,,OK,
,,"Stato (aperta, chiusa, mergiata);",,,,,OK,
,,Assegnatario;,,,,,OK,
,,Reviewers;,,,,,OK,
,,Commenti e discussioni;,,,,,OK,
,,File modificati;,,,,,OK,
,,Branch di origine e di destinazione.,,,,,OK,
,Stato dei workflow di GitHub Action:,,,,,,,
,,"Stato dei workflow (es. success, failure, pending);",,,,,OK,
,,Ultimo workflow eseguito;,,,,,OK,
,,Log dei workflow;,,,,,OK,
,,"Trigger dei workflow (es. push, pull request);",,,,,OK,
,,Durata dei workflow.,,,,,OK,
Confluence,,,,,,,,
,,Id di una pagina;,,,,,OK,
,,Titolo di una pagina;,,,,,OK,
,,Status di una pagina;,,,,,OK,
,,Autore di una pagina;,,,,,OK,
,,Owner di una pagina;,,,,,OK,
,,Spazio di una pagina;,,,,,OK,
,,Body di una pagina;,,,,,OK,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Jira,,,,,,,,
,,"Nome (titolo) di un ticket"";",,,,,OK,
,,"Assegnatario di un ticket"";",,,,,OK,
,,"Etichette di un ticket"";",,,,,No,
,,"Stato di un ticket"";",,,,,OK,
,,"Attività principale collegata a un ticket"";",,,,,OK,
,,"Team di appartenenza di un ticket"";",,,,,No,
,,"Sprint di appartenenza di un ticket"";",,,,,OK,
,,"#glossary(""Story point estimate"") di un ticket"";",,,,,OK,
,,"Richiedente/creatore di un ticket"".",,,,,OK,
,,Priorità,,,,,OK,Aggiunto
,,Data di scadenza,,,,,OK,Aggiunto
,,Commenti del ticket,,,,,OK,Aggiunto
,,Ticket collegati,,,,,OK,Aggiunto
